e_pas,ena,ek,Rin,tau,RMP
-85,25,-105,1.070589774225375,65.36080079273859,-70.03446865548435
-85,25,-100,1.0719282805799923,65.27111619144861,-70.01226034389678
-85,25,-95,1.0732750946549683,65.1811982799219,-69.98993413846213
-85,25,-90,1.0746303196857656,65.09104484874294,-69.9674886128928
-85,25,-85,1.0759940609146597,65.00064961517747,-69.9449223133973
-85,25,-80,1.077366425645066,64.91001814146566,-69.92223375794393
-85,30,-110,1.0695794891345904,65.43856343764749,-70.05191838170997
-85,30,-105,1.0709122937369753,65.349051285816,-70.02979151023727
-85,30,-100,1.0722533398728014,65.25931190798389,-70.00754765893811
-85,30,-95,1.073602729552356,65.16933858924769,-69.9851854182876
-85,30,-90,1.0749605667612774,65.0791290357579,-69.96270335168778
-85,30,-85,1.0763269575130243,64.98867706751476,-69.9400999947485
-85,30,-80,1.077702009904138,64.8979880392899,-69.91737385453959
-85,35,-110,1.0699001879237484,65.42685644202754,-70.04726671450787
-85,35,-105,1.07123550816649,65.33729012985505,-70.0251046367117
-85,35,-100,1.0725791052838698,65.2474959113816,-70.00282509020013
-85,35,-95,1.073931082023252,65.15746696677793,-69.98042665531625
-85,35,-90,1.0752915431279584,65.06720106801488,-69.95790788504809
-85,35,-85,1.0766605953907333,64.97669212115679,-69.93526730429738
-85,35,-80,1.0780383477092141,64.88594534685197,-69.91250340912516
-85,40,-110,1.0702215738673266,65.41513793888328,-70.04260542660738
-85,40,-105,1.071559420781528,65.32551737292934,-70.02040798931723
-85,40,-100,1.072905580161621,65.23566795850058,-69.99809259097246
-85,40,-95,1.0742601554994702,65.14558322793486,-69.97565780168257
-85,40,-90,1.0756232523037448,65.05526080894475,-69.95310216391594
-85,40,-85,1.0769949781544244,64.96469472981462,-69.93042419175742
-85,40,-80,1.078375442758552,64.87389007024309,-69.90762237014528
-85,45,-110,1.0705436501780745,65.40340384174034,-70.0379344731765
-85,45,-105,1.0718840348739938,65.31373281428301,-70.01570152212483
-85,45,-100,1.0732327678796014,65.22382812327153,-69.99335011419498
-85,45,-95,1.0745899534387762,65.13368738092811,-69.9708788091601
-85,45,-90,1.0759556978333438,65.04330450666318,-69.94828613886077
-85,45,-85,1.0773301094385128,64.95268489833715,-69.92557060645568
-85,45,-80,1.0787132987791443,64.86182212719304,-69.90273068564481
-85,50,-110,1.0708664200925018,65.39166237361357,-70.03325380905214
-85,50,-105,1.0722093537603579,65.30193653894143,-70.0109851888636
-85,50,-100,1.0735606718367514,65.21197628849875,-69.98859761245431
-85,50,-95,1.0749204793251617,65.12177946465351,-69.9660896291558
-85,50,-90,1.0762888832885595,65.03133974431975,-69.94345976007423
-85,50,-85,1.077665992905438,64.94066251248951,-69.92070649732867
-85,50,-80,1.079051919527029,64.84974145325367,-69.89782830326477
-85,55,-110,1.0711898868711516,65.37990930097845,-70.02856338873676
-85,55,-105,1.0725353807818918,65.29012838404131,-70.00625894291711
-85,55,-100,1.0738892954576509,65.20011257186903,-69.98383503797946
-85,55,-95,1.0752517366691978,65.10985931769967,-69.96129021270859
-85,55,-90,1.0766228122686519,65.01936260429723,-69.93862297736608
-85,55,-85,1.0780026322460023,64.92862761091354,-69.9158318129183
-85,55,-80,1.0793913087875895,64.8376480239395,-69.89291517023796
-80,25,-110,1.1394969938867066,61.22217353139396,-65.44704555118003
-80,25,-105,1.1419497413690731,61.07839453116175,-65.40757766020464
-80,25,-100,1.1444296247233139,60.93392796224962,-65.36772959039253
-80,25,-95,1.1469372598165053,60.78876088341647,-65.32749288928913
-80,25,-90,1.1494732846738573,60.64287998928693,-65.28685880140289
-80,25,-85,1.1520383605894877,60.49627138357183,-65.24581825301108
-80,25,-80,1.1546331733089787,60.348927333367435,-65.20436183597748
